asset_id,asset_type,substation_region,grid_failure_flag,predicted_failure_prob,expected_impact,risk_score
100256,Circuit Breaker,Central,0,0.12,1168216.2020999999,140185.944252
100257,Transmission Line,Central,0,0.105,70928.729073,7447.516552664999
100258,transformer,West,1,0.81,795103.2634999999,644033.643435
100259,Switchgear,South,0,0.18,1284015.0787,231122.714166
100260,Transmission Line,East,1,0.965,358342.04448000004,345800.07292320003
100261,Transmission Line,West,1,0.87,436409.40630000003,379676.183481
100262,Switchgear,South,1,0.985,1256774.9285,1237923.3045724998
100263,Circuit Breaker,North,0,0.16,1100470.1869,176075.229904
100264,Transformer,East,1,0.885,473532.92712,419076.6405012
100265,Circuit Breaker,West,0,0.615,359264.97414999997,220947.95910224997
100266,Circuit Breaker,West,0,0.12,1149619.8231000002,137954.37877200003
100267,Substation,North,0,0.025,594049.1067,14851.227667500001
100268,Circuit Breaker,South,0,0.41,1386436.5841,568438.999481
100269,Circuit Breaker,East,1,0.895,506746.5661,453538.1766595
100270,Substation,Central,1,0.895,1051446.9353,941045.0070935
100271,Circuit Breaker,South,0,0.01,705596.9025,7055.969024999999
100272,Circuit Breaker,West,1,0.725,966319.0645000001,700581.3217625001
100273,Transformer,Central,0,0.065,677343.35332,44027.3179658
100274,Transformer,West,0,0.05,698702.379,34935.11895
100275,TRANSFORMER,East,0,0.02,769583.4058,15391.668115999999
100276,Switchgear,Central,0,0.19,581039.1507,110397.438633
100277,Circuit Breaker,East,1,0.975,1021365.1051,995830.9774725001
100278,Transformer,South,1,0.82,1099830.9296,901861.3622719998
100279,TRANSFORMER,Central,0,0.02,719766.659,14395.33318
100280,Substation,Central,0,0.145,1217649.4351,176559.16808949996
100281,Transmission Line,North,0,0.195,463162.25388,90316.6395066
100282,Transformer,Central,1,0.9,687861.4169000001,619075.2752100001
100283,Transformer,North,1,0.945,604068.2259,570844.4734754999
100284,Substation,South,0,0.265,991240.5869,262678.7555285
100285,Circuit Breaker,West,1,0.705,1080421.3243,761697.0336315
100286,Substation,South,0,0.015,1045458.7407,15681.881110499999
100287,Transformer,West,0,0.045,668568.5496,30085.584732
100288,Substation,West,0,0.01,795761.1564,7957.611564
100289,Circuit Breaker,North,1,0.945,232582.30554,219790.2787353
100290,Switchgear,North,1,0.78,1078668.8281,841361.6859180001
100291,Circuit Breaker,West,0,0.815,463911.82909,378088.14070835
100292,transformer,South,0,0.1,579015.9387,57901.59387000001
100293,Switchgear,West,0,0.61,969630.916,591474.85876
100294,Transformer,North,0,0.235,1096809.6865,257750.2763275
100295,Switchgear,East,1,0.7,531213.5814,371849.50698
100296,Substation,North,1,0.965,500395.69440000004,482881.845096
100297,Transformer,Central,1,0.6,1184199.0025,710519.4014999999
100298,Substation,East,1,0.83,1304922.4671,1083085.647693
100299,Transmission Line,East,0,0.495,803922.7598,397941.766101
100300,Circuit Breaker,Central,1,0.83,357202.40604000003,296477.9970132
100301,Transformer,East,1,0.765,1152535.2417,881689.4599004999
100302,Transformer,East,1,0.92,498973.05429999996,459055.209956
100303,Substation,North,0,0.05,699619.2269,34980.961345
100304,Transformer,South,1,0.85,1125598.0432,956758.3367199999
100305,Substation,Central,1,0.95,1137480.7156,1080606.67982
100306,Substation,Central,0,0.305,616709.54594,188096.4115117
100307,Switchgear,North,1,0.96,1027318.3242,986225.591232
100308,Substation,West,0,0.06,1365770.1243,81946.207458
100309,Circuit Breaker,North,1,0.865,1075132.9952,929990.040848
100310,Substation,South,0,0.1,591263.6329,59126.36329
100311,Transformer,North,0,0.04,1178285.1454,47131.405816000006
100312,Circuit Breaker,East,0,0.015,904395.1455999999,13565.927183999998
100313,Transformer,West,1,0.97,277396.37768000003,269074.4863496
100314,Transformer,Central,0,0.165,214992.22445,35473.71703425
100315,Transformer,West,1,0.885,896659.9704,793544.073804
100316,Circuit Breaker,North,0,0.075,707719.9375,53078.995312499996
100317,Switchgear,East,0,0.06,984311.6709,59058.700253999996
100318,Switchgear,West,1,0.63,964737.9785000001,607784.9264550001
100319,Circuit Breaker,South,0,0.075,1029188.3572,77189.12679
100320,Transmission Line,West,0,0.04,795782.661,31831.30644
100321,Transformer,South,1,0.93,251449.729803,233848.24871679
100322,Transmission Line,West,1,0.89,568848.5292,506275.190988
100323,Switchgear,South,0,0.005,1090744.112,5453.72056
100324,Substation,East,0,0.115,780695.7253,89780.0084095
100325,Transformer,South,0,0.175,170628.70155,29860.02277125
100326,Circuit Breaker,North,1,0.905,1192916.9601,1079589.8488905001
100327,Transformer,Central,0,0.005,593364.9898,2966.824949
100328,Switchgear,Central,0,0.175,1212946.7618,212265.68331499997
100329,Transformer,West,1,0.965,662021.1845,638850.4430425
100330,Transmission Line,Central,0,0.005,1237902.9884000001,6189.514942000001
100331,Circuit Breaker,Central,0,0.12,1193180.1527,143181.61832399998
100332,Transmission Line,South,0,0.015,1250536.4812,18758.047218
100333,Transmission Line,South,1,0.825,821700.6916,677903.07057
100334,Transmission Line,East,1,0.915,1256455.3457,1149656.6413155
100335,Circuit Breaker,Central,1,0.85,1021713.0663000001,868456.106355
100336,Circuit Breaker,East,1,0.955,778667.16661,743627.14411255
100337,Transformer,South,1,0.89,442415.67775499995,393749.95320194995
100338,Transformer,North,0,0.01,665294.58419,6652.9458419
100339,Substation,South,0,0.165,676699.8356999999,111655.4728905
100340,Transmission Line,West,1,0.99,905090.9489,896040.039411
100341,Transmission Line,East,0,0.04,1098083.102,43923.32408
100342,Transformer,South,1,0.94,619091.4006,581945.9165640001
100343,Transmission Line,West,1,0.87,632378.5218,550169.313966
100344,Circuit Breaker,Central,0,0.18,998344.6542,179702.037756
100345,Transformer,Central,0,0.065,408558.32065,26556.29084225
100346,Transformer,East,0,0.45,482707.87757,217218.5449065
100347,Transmission Line,East,1,0.905,1118320.017,1012079.615385
100348,Circuit Breaker,East,0,0.04,991795.5434,39671.821736
100349,Substation,South,0,0.05,300162.7297,15008.136485000003
100350,Transformer,North,0,0.39,697344.3031,271964.278209
100351,Transformer,East,1,0.855,567800.5124,485469.438102
100352,Transformer,East,0,0.015,610327.6211,9154.914316499999
100353,Substation,Central,1,0.87,1183302.8133,1029473.4475710001
100354,Transmission Line,West,0,0.565,1161581.7327999999,656293.6790319999
100355,Substation,South,0,0.015,550754.53564,8261.3180346
100356,Circuit Breaker,Central,1,0.99,859661.2456,851064.633144
100357,Substation,Central,0,0.285,985553.5176,280882.752516
100358,Switchgear,North,1,0.785,1024526.0502,804252.9494070001
100359,Substation,North,1,0.955,316582.1598,302335.96260900004
100360,Transformer,East,0,0.08,437208.74529999995,34976.69962399999
100361,Circuit Breaker,South,1,0.73,1230243.8137,898077.9840010001
100362,Transmission Line,South,1,0.75,988159.2607,741119.445525
100363,Switchgear,South,0,0.01,930262.2471,9302.622471
100364,Switchgear,South,0,0.18,988793.5579,177982.840422
100365,Circuit Breaker,North,1,0.815,773134.6172,630104.7130179999
100366,Circuit Breaker,North,0,0.44,1032932.3602,454490.238488
100367,Substation,East,0,0.085,965104.8404,82033.91143400001
100368,Transformer,North,0,0.325,551070.2753,179097.8394725
100369,Transmission Line,West,1,0.74,447818.85043700004,331385.94932338
100370,Circuit Breaker,North,0,0.555,283667.71831,157435.58366205002
100371,Transmission Line,East,0,0.22,914282.92591,201142.2437002
100372,Substation,North,0,0.025,1024195.6769000001,25604.891922500003
100373,Substation,Central,0,0.175,618534.5989,108243.5548075
100374,Transformer,West,1,0.66,789254.99208,520908.2947728
100375,Transformer,West,0,0.025,450490.0246,11262.250615
100376,TRANSFORMER,East,1,0.92,631013.2466,580532.186872
100377,TRANSFORMER,South,1,0.98,556848.5627,545711.591446
100378,Switchgear,South,0,0.0,1159944.2459,0.0
100379,Transmission Line,South,1,0.8,448583.3207,358866.65656000003
100380,Transformer,West,0,0.035,937456.9466,32810.993131
100381,Substation,South,1,0.8,1051969.7558,841575.80464
100382,Substation,West,1,1.0,1224551.6092,1224551.6092
100383,Transformer,North,0,0.08,606514.7213,48521.177704
100384,Substation,South,0,0.26,555694.5579,144480.585054
100385,Substation,East,0,0.17,934726.385,158903.48545
100386,Switchgear,East,1,0.725,659561.3162,478181.954245
100387,Transformer,Central,0,0.17,661486.1587,112452.64697900001
100388,Switchgear,North,1,0.975,756383.6018000001,737474.0117550001
100389,Circuit Breaker,Central,1,0.675,990915.16868,668867.738859
100390,Transformer,Central,0,0.12,992641.7842,119117.014104
100391,Substation,South,1,0.945,833225.12097,787397.73931665
100392,Substation,Central,0,0.1,982524.5977,98252.45977000002
100393,Circuit Breaker,West,0,0.175,808500.9371,141487.6639925
100394,Transformer,Central,1,0.82,617049.7119,505980.763758
100395,Switchgear,South,1,0.72,669578.13175,482096.2548599999
100396,Transmission Line,East,0,0.01,1214194.9292000001,12141.949292000001
100397,Transmission Line,South,0,0.155,765414.0002,118639.170031
100398,Substation,South,1,0.995,722957.4827,719342.6952865
100399,Circuit Breaker,East,1,0.775,193986.79377,150339.76517174998
100400,Substation,West,0,0.035,1033139.2938,36159.875283
100401,Transmission Line,Central,0,0.07,476568.976,33359.82832000001
100402,Circuit Breaker,South,1,0.895,1014901.7234,908337.042443
100403,Transmission Line,East,0,0.17,419056.793298,71239.65486066001
100404,Circuit Breaker,North,0,0.035,981333.3002,34346.665507000005
100405,Transmission Line,East,1,0.975,1020596.1381000001,995081.2346475001
100406,Transformer,East,0,0.07,553746.9597,38762.287179000006
100407,Transmission Line,North,0,0.005,999695.0487,4998.4752435
100408,Transformer,South,0,0.565,1015997.0942,574038.358223
100409,Transmission Line,North,1,0.97,813065.4055,788673.443335
100410,Switchgear,West,0,0.1,162818.16063,16281.816063
100411,Substation,West,0,0.23,1316694.425,302839.71775
100412,Substation,East,0,0.03,395110.41130000004,11853.312339
100413,Circuit Breaker,East,0,0.075,865569.7877,64917.7340775
100414,Transmission Line,North,0,0.01,885239.2777,8852.392777
100415,Switchgear,North,0,0.14,757200.9256,106008.12958400001
100416,Transmission Line,North,0,0.005,1369768.8643999998,6848.844321999999
100417,Transmission Line,South,1,0.975,736370.0691000001,717960.8173725001
100418,Substation,South,0,0.26,1071180.2059,278506.853534
100419,Transmission Line,North,0,0.515,1028876.2128,529871.249592
100420,Circuit Breaker,Central,0,0.05,866153.71335,43307.6856675
100421,Substation,South,0,0.01,391454.2875,3914.5428749999996
100422,Switchgear,North,1,0.94,985866.14142,926714.1729347999
100423,Transformer,West,1,0.93,673086.0268999999,625970.005017
100424,Switchgear,Central,1,0.98,1075980.4655,1054460.85619
100425,Circuit Breaker,West,0,0.67,1193353.4668999999,799546.822823
100426,Substation,West,0,0.185,711225.5295,131576.7229575
100427,Substation,West,0,0.1,1165652.3354,116565.23354
100428,Circuit Breaker,North,0,0.1,432003.24659999995,43200.32466
100429,Substation,Central,1,0.65,544928.7306,354203.67489
100430,Switchgear,South,0,0.115,718731.4739999999,82654.11950999999
100431,Transformer,East,1,0.9,857904.6253,772114.1627699999
100432,Transformer,West,1,0.78,210884.8747,164490.202266
100433,Transformer,South,0,0.025,500233.26502,12505.8316255
100434,Substation,West,1,0.78,503261.23949,392543.7668022
100435,Transmission Line,North,1,0.955,842282.5179999999,804379.8046899999
100436,Switchgear,South,1,0.82,581775.9564,477056.284248
100437,Transmission Line,Central,1,0.345,184639.28061999998,63700.55181389998
100438,Substation,Central,1,0.715,473846.02709999995,338799.90937649994
100439,Transformer,West,0,0.02,835802.9848999999,16716.059697999997
100440,Circuit Breaker,West,0,0.01,1084857.4371,10848.574371
100441,TRANSFORMER,North,1,0.79,445692.7128,352097.243112
100442,Transformer,Central,1,0.905,989076.9914,895114.677217
100443,Substation,West,1,0.875,436032.8545,381528.7476875
100444,Transmission Line,West,0,0.015,678627.2347,10179.4085205
100445,Circuit Breaker,East,0,0.14,678923.654511,95049.31163154001
100446,Circuit Breaker,East,0,0.27,113349.80841000001,30604.448270700006
100447,Substation,South,1,0.77,855221.73239,658520.7339403001
